       2.283  0.5  1 (2p) 2p      1062.044  0.5  4 (3p) 2p       131.395    131.3945   0.080   0.0738  -1.132 5.525E+10-4.44E-01
      -1.141  1.5  1 (2p) 2p      1058.962  2.5  4 (3p) 4f       131.437    131.4369   0.050   0.0461  -1.336 3.455E+10-8.00E-01
       2.283  0.5  1 (2p) 2p      1062.483  1.5  4 (3p) 2p       131.449    131.4489   0.089   0.0824  -1.084 6.176E+10-1.50E-01
      -1.141  1.5  1 (2p) 2p      1059.233  1.5  4 (3p) 4p       131.471    131.4705   0.022   0.0207  -1.685 1.549E+10 7.24E-01
      -1.141  1.5  1 (2p) 2p      1060.434  2.5  4 (3p) 4p       131.620    131.6194   0.030   0.0280  -1.553 2.105E+10 6.83E-01
      -1.141  1.5  1 (2p) 2p      1060.847  2.5  4 (3p) 2f       131.671    131.6706   0.056   0.0517  -1.286 3.890E+10-6.71E-01
       2.283  0.5  1 (2p) 2p      1064.765  1.5  4 (3p) 2d       131.732    131.7318   0.410   0.3788  -0.422 2.852E+11 6.22E-01
      -1.141  1.5  1 (2p) 2p      1062.044  0.5  4 (3p) 2p       131.819    131.8191   0.045   0.0420  -1.377 3.168E+10-4.88E-01
      -1.141  1.5  1 (2p) 2p      1062.483  1.5  4 (3p) 2p       131.874    131.8735   0.306   0.2828  -0.549 2.134E+11-6.09E-01
      -1.141  1.5  1 (2p) 2p      1063.713  2.5  4 (3p) 2d       132.026    132.0260   0.765   0.7090  -0.149 5.362E+11 7.27E-01
      -1.141  1.5  1 (2p) 2p      1064.765  1.5  4 (3p) 2d       132.157    132.1564   0.013   0.0119  -1.926 8.980E+09-2.38E-02
       2.283  0.5  1 (2p) 2p      1092.908  0.5  3 (1s) 2s       135.221    135.2212   0.043   0.0404  -1.394 3.204E+10 7.99E-01
      -1.141  1.5  1 (2p) 2p      1092.908  0.5  3 (1s) 2s       135.646    135.6458   0.079   0.0751  -1.124 5.999E+10-7.82E-01
       2.283  0.5  1 (2p) 2p      1097.333  1.5  4 (1d) 2p       135.770    135.7697   0.066   0.0626  -1.203 5.011E+10 7.51E-01
       2.283  0.5  1 (2p) 2p      1097.648  0.5  4 (1d) 2p       135.809    135.8088   0.106   0.1009  -0.996 8.072E+10-5.63E-01
       2.283  0.5  1 (2p) 2p      1098.269  1.5  4 (1d) 2d       135.886    135.8859   0.158   0.1502  -0.823 1.204E+11 5.73E-01
       2.283  0.5  1 (2p) 2p      1098.415  0.5  4 (1d) 2s       135.904    135.9040   0.049   0.0464  -1.334 3.718E+10-4.58E-01
      -1.141  1.5  1 (2p) 2p      1097.333  1.5  4 (1d) 2p       136.195    136.1943   0.274   0.2616  -0.582 2.106E+11-7.07E-01
      -1.141  1.5  1 (2p) 2p      1097.648  0.5  4 (1d) 2p       136.234    136.2334   0.075   0.0713  -1.147 5.740E+10-6.82E-01
      -1.141  1.5  1 (2p) 2p      1097.667  2.5  4 (1d) 2f       136.236    136.2357   0.013   0.0124  -1.906 1.001E+10 3.85E-01
      -1.141  1.5  1 (2p) 2p      1098.031  2.5  4 (1d) 2d       136.281    136.2809   0.237   0.2262  -0.646 1.823E+11 5.91E-01
      -1.141  1.5  1 (2p) 2p      1098.269  1.5  4 (1d) 2d       136.311    136.3104   0.037   0.0354  -1.451 2.856E+10 5.99E-01
      -1.141  1.5  1 (2p) 2p      1098.415  0.5  4 (1d) 2s       136.329    136.3286   0.043   0.0407  -1.391 3.278E+10 2.46E-01
       2.283  0.5  1 (2p) 2p      1122.533  1.5  5 (3p) 4d       138.894    138.8942   0.000   0.0003  -3.594 2.129E+08 5.56E-02
       2.283  0.5  1 (2p) 2p      1122.951  0.5  5 (3p) 4d       138.946    138.9460   0.002   0.0018  -2.742 1.516E+09 4.52E-01
       2.283  0.5  1 (2p) 2p      1123.988  0.5  5 (3p) 4p       139.075    139.0746   0.008   0.0079  -2.101 6.652E+09 5.85E-01
       2.283  0.5  1 (2p) 2p      1124.495  1.5  5 (3p) 4p       139.138    139.1375   0.010   0.0101  -1.996 8.481E+09 1.51E-01
      -1.141  1.5  1 (2p) 2p      1122.225  2.5  5 (3p) 4d       139.281    139.2806   0.000   0.0003  -3.589 2.169E+08 1.43E-01
       2.283  0.5  1 (2p) 2p      1125.902  1.5  5 (3p) 4f       139.312    139.3119   0.014   0.0137  -1.864 1.153E+10-7.79E-01
      -1.141  1.5  1 (2p) 2p      1122.533  1.5  5 (3p) 4d       139.319    139.3187   0.002   0.0015  -2.829 1.248E+09 3.08E-01
      -1.141  1.5  1 (2p) 2p      1122.951  0.5  5 (3p) 4d       139.371    139.3705   0.001   0.0005  -3.268 4.548E+08 2.42E-01
       2.283  0.5  1 (2p) 2p      1126.398  0.5  5 (3p) 2p       139.374    139.3734   0.054   0.0525  -1.280 4.422E+10-6.89E-01
       2.283  0.5  1 (2p) 2p      1126.670  1.5  5 (3p) 2p       139.407    139.4071   0.035   0.0344  -1.464 2.899E+10-1.48E-01
      -1.141  1.5  1 (2p) 2p      1123.988  0.5  5 (3p) 4p       139.499    139.4992   0.006   0.0058  -2.238 4.884E+09 7.61E-01
